,het_E17.5_f5,het_E17.5_f4
g00001,35,36
g00002,15,14
g00003,0,0
g00004,2,11
g00005,125,123
g00006,428,394
g00007,581,523
g00008,46,45
g00009,217,186
g00010,78,60
g00011,613,643
g00012,5,5
g00013,24,21
g00014,1484,1387
g00015,0,0
g00016,3,0
g00017,800,740
g00018,1,2
g00019,278,285
g00020,14,6
g00021,14,9
g00022,7,3
g00023,82,85
g00024,574,475
g00025,104,89
g00026,342,328
g00027,2,2
g00028,12,9
g00029,160,175
g00030,3,2
g00031,3,4
g00032,2,1
g00033,0,1
g00034,540,418
g00035,552,501
g00036,1222,1165
g00037,22,12
g00038,876,760
g00039,9,9
g00040,0,0
g00041,1266,955
g00042,113,84
g00043,0,0
g00044,1338,1179
g00045,1999,1738
g00046,131,107
g00047,1,0
g00048,5,1
g00049,87,52
g00050,80,46
g00051,1,1
g00052,17,12
g00053,224,220
g00054,40,42
g00055,0,0
g00056,5,2
g00057,2427,2400
g00058,150,145
g00059,184,154
g00060,292,299
g00061,313,275
g00062,0,0
g00063,255,258
g00064,19,24
g00065,364,324
g00066,4,5
g00067,334,270
g00068,118,120
g00069,0,0
g00070,0,0
g00071,0,0
g00072,0,0
g00073,0,0
g00074,0,0
g00075,512,420
g00076,126,95
g00077,1,5
g00078,0,1
g00079,19,17
g00080,0,0
g00081,0,1
g00082,1599,1223
g00083,0,1
g00084,385,297
g00085,39,26
g00086,81,62
g00087,36,23
g00088,17,11
g00089,0,0
g00090,0,0
g00091,0,0
g00092,0,1
g00093,16,15
g00094,15,11
g00095,0,0
g00096,0,1
g00097,0,0
g00098,141,137
g00099,0,0
g00100,405,316
g00101,674,563
g00102,51,60
g00103,1283,1260
g00104,84,96
g00105,269,224
g00106,483,423
g00107,28,27
g00108,0,0
g00109,0,0
g00110,0,0
g00111,0,1
g00112,0,0
g00113,0,0
g00114,0,0
g00115,1819,1440
g00116,98,89
g00117,0,0
g00118,0,0
g00119,0,0
g00120,0,0
g00121,0,0
g00122,2,1
g00123,1,1
g00124,0,1
g00125,356,313
g00126,2,5
g00127,148,149
g00128,415,320
g00129,431,364
g00130,0,1
g00131,17,11
g00132,7128,6301
g00133,4,0
g00134,277,256
g00135,466,414
g00136,172,156
g00137,90,100
g00138,0,1
g00139,4,2
g00140,0,0
g00141,0,2
g00142,0,0
g00143,167,164
g00144,2533,2420
g00145,352,321
g00146,556,584
g00147,1784,1475
g00148,15,19
g00149,143,132
g00150,825,745
g00151,103,97
g00152,200,199
g00153,261,228
g00154,363,351
g00155,111,132
g00156,508,508
g00157,21,17
g00158,568,434
g00159,972,911
g00160,2,2
g00161,8,12
g00162,1874,1400
g00163,20,10
g00164,2,5
g00165,288,236
g00166,890,657
g00167,402,395
g00168,243,227
g00169,17,15
g00170,23,23
g00171,147,141
g00172,7,18
g00173,54,50
g00174,54,43
g00175,123,111
g00176,386,310
g00177,0,0
g00178,0,0
g00179,587,564
g00180,957,666
g00181,529,510
g00182,153,124
g00183,124,99
g00184,50,21
g00185,3,2
g00186,0,0
g00187,532,390
g00188,30,41
g00189,228,209
g00190,422,387
g00191,417,341
g00192,8,6
g00193,942,1046
g00194,15,40
g00195,3,1
g00196,1,0
g00197,0,0
g00198,4050,4070
g00199,14,13
g00200,122,103
g00201,565,469
g00202,262,227
g00203,750,630
g00204,35,26
g00205,24,50
g00206,2,0
g00207,76,66
g00208,56,63
g00209,139,140
g00210,0,0
g00211,3,3
g00212,56,35
g00213,9,6
g00214,323,297
g00215,5,7
g00216,464,491
g00217,388,334
g00218,264,297
g00219,0,0
g00220,571,541
g00221,37,36
g00222,18,33
g00223,107,112
g00224,0,0
g00225,1781,1414
g00226,17,13
g00227,75,60
g00228,331,221
g00229,202,163
g00230,497,436
g00231,127,123
g00232,100,96
g00233,323,299
g00234,8,7
g00235,207913,219053
g00236,19049,19264
g00237,567,497
g00238,5,3
g00239,245,266
g00240,0,0
g00241,0,0
g00242,18,23
g00243,2,4
g00244,1165,973
g00245,0,0
g00246,426,307
g00247,3,1
g00248,983,822
g00249,215,208
g00250,1,4
g00251,1739,1572
