,het_NB_f4,het_NB_f5
g00001,38,21
g00002,21,9
g00003,0,0
g00004,0,2
g00005,3,13
g00006,395,290
g00007,723,518
g00008,72,41
g00009,152,129
g00010,451,266
g00011,717,524
g00012,3,3
g00013,77,40
g00014,2591,1784
g00015,0,0
g00016,0,0
g00017,1113,848
g00018,0,0
g00019,257,304
g00020,8,20
g00021,2,3
g00022,0,3
g00023,20,7
g00024,247,269
g00025,53,49
g00026,145,164
g00027,0,3
g00028,1,2
g00029,87,82
g00030,1,2
g00031,0,6
g00032,1,5
g00033,0,1
g00034,303,260
g00035,227,160
g00036,1660,1469
g00037,1,4
g00038,11,129
g00039,0,2
g00040,0,0
g00041,13,34
g00042,3,23
g00043,0,0
g00044,2514,1614
g00045,1048,792
g00046,69,50
g00047,0,0
g00048,1,1
g00049,12,18
g00050,0,2
g00051,0,0
g00052,0,0
g00053,101,73
g00054,8,10
g00055,0,3
g00056,0,0
g00057,1896,1311
g00058,257,268
g00059,79,87
g00060,142,112
g00061,227,170
g00062,1,0
g00063,119,100
g00064,26,17
g00065,6,17
g00066,0,1
g00067,1,6
g00068,3,9
g00069,0,0
g00070,0,0
g00071,0,0
g00072,0,0
g00073,0,0
g00074,0,0
g00075,225,268
g00076,1,1
g00077,0,0
g00078,0,0
g00079,1,0
g00080,0,0
g00081,0,0
g00082,86,156
g00083,0,1
g00084,680,461
g00085,15,12
g00086,7,11
g00087,2,8
g00088,8,17
g00089,0,0
g00090,0,0
g00091,0,0
g00092,0,0
g00093,2,1
g00094,1,1
g00095,0,0
g00096,1,0
g00097,0,0
g00098,31,37
g00099,0,0
g00100,459,462
g00101,887,851
g00102,5,13
g00103,2157,1470
g00104,9,9
g00105,6,13
g00106,379,247
g00107,5,3
g00108,0,0
g00109,0,0
g00110,0,0
g00111,0,0
g00112,0,0
g00113,0,0
g00114,0,0
g00115,651,626
g00116,108,89
g00117,0,0
g00118,0,0
g00119,0,0
g00120,0,0
g00121,0,0
g00122,1,1
g00123,0,0
g00124,0,0
g00125,53,69
g00126,1,5
g00127,37,60
g00128,180,339
g00129,117,116
g00130,0,0
g00131,2,0
g00132,2160,1857
g00133,0,0
g00134,180,217
g00135,325,312
g00136,117,131
g00137,10,12
g00138,0,1
g00139,7,3
g00140,0,0
g00141,1,1
g00142,0,0
g00143,160,225
g00144,1362,1469
g00145,367,314
g00146,323,438
g00147,785,866
g00148,53,29
g00149,35,40
g00150,313,282
g00151,87,96
g00152,409,252
g00153,322,311
g00154,330,383
g00155,67,64
g00156,169,137
g00157,8,12
g00158,295,242
g00159,543,466
g00160,0,1
g00161,4,7
g00162,2094,1965
g00163,0,2
g00164,4,11
g00165,97,109
g00166,629,500
g00167,323,242
g00168,52,127
g00169,1,6
g00170,27,34
g00171,166,151
g00172,17,8
g00173,9,8
g00174,14,10
g00175,71,37
g00176,203,186
g00177,20,12
g00178,5,0
g00179,539,445
g00180,672,658
g00181,124,139
g00182,17,38
g00183,1,3
g00184,2,3
g00185,0,0
g00186,0,0
g00187,257,177
g00188,83,76
g00189,124,113
g00190,145,207
g00191,251,249
g00192,4,4
g00193,1151,1228
g00194,6,57
g00195,0,1
g00196,0,0
g00197,0,0
g00198,2747,2785
g00199,73,69
g00200,494,328
g00201,157,197
g00202,574,391
g00203,11,26
g00204,2,10
g00205,6,2
g00206,0,2
g00207,1,1
g00208,81,53
g00209,0,5
g00210,0,0
g00211,1,1
g00212,0,2
g00213,1,0
g00214,130,173
g00215,0,1
g00216,544,490
g00217,181,166
g00218,778,429
g00219,0,0
g00220,397,283
g00221,21,25
g00222,2,4
g00223,44,50
g00224,0,0
g00225,1902,1297
g00226,5,17
g00227,15,14
g00228,28,35
g00229,57,62
g00230,246,297
g00231,57,98
g00232,0,0
