,mut_E14.5_f5,mut_E14.5_f4
g00001,392,387
g00002,118,110
g00003,0,1
g00004,2,6
g00005,85,70
g00006,405,394
g00007,448,445
g00008,45,34
g00009,225,206
g00010,27,31
g00011,718,706
g00012,4,6
g00013,9,1
g00014,1048,1044
g00015,0,0
g00016,154,198
g00017,623,597
g00018,79,80
g00019,344,387
g00020,41,36
g00021,25,13
g00022,140,166
g00023,120,98
g00024,655,652
g00025,121,131
g00026,153,167
g00027,0,0
g00028,10,11
g00029,195,179
g00030,8,3
g00031,3,5
g00032,2,1
g00033,0,0
g00034,636,462
g00035,763,746
g00036,1282,1028
g00037,12,22
g00038,558,543
g00039,111,87
g00040,0,0
g00041,2113,2031
g00042,541,596
g00043,1,2
g00044,1675,1487
g00045,1703,1683
g00046,118,108
g00047,0,0
g00048,1,2
g00049,281,226
g00050,306,340
g00051,2,16
g00052,155,178
g00053,222,203
g00054,42,24
g00055,3,0
g00056,4,3
g00057,1963,2154
g00058,260,203
g00059,464,498
g00060,378,361
g00061,328,360
g00062,0,1
g00063,265,288
g00064,18,13
g00065,263,262
g00066,359,423
g00067,70,62
g00068,802,928
g00069,1,0
g00070,0,0
g00071,0,0
g00072,0,0
g00073,0,0
g00074,0,0
g00075,435,364
g00076,135,119
g00077,4,2
g00078,0,0
g00079,28,17
g00080,0,0
g00081,0,0
g00082,1692,1624
g00083,2,2
g00084,422,348
g00085,45,44
g00086,70,62
g00087,27,31
g00088,22,5
g00089,0,0
g00090,0,0
g00091,0,0
g00092,1,0
g00093,154,146
g00094,302,304
g00095,2,2
g00096,3,0
g00097,0,1
g00098,293,291
g00099,0,2
g00100,556,461
g00101,656,601
g00102,67,64
g00103,1090,1118
g00104,4972,5977
g00105,430,456
g00106,407,429
g00107,643,647
g00108,12,25
g00109,1,0
g00110,1,1
g00111,0,0
g00112,0,0
g00113,0,0
g00114,0,0
g00115,2090,1950
g00116,132,127
g00117,0,0
g00118,0,0
g00119,0,0
g00120,0,0
g00121,0,1
g00122,164,187
g00123,11,12
g00124,39,10
g00125,398,403
g00126,4,7
g00127,261,216
g00128,319,326
g00129,539,589
g00130,0,1
g00131,122,118
g00132,8776,8036
g00133,3,2
g00134,284,296
g00135,495,506
g00136,178,158
g00137,63,88
g00138,0,0
g00139,3,0
g00140,0,0
g00141,281,281
g00142,1,0
g00143,313,303
g00144,3737,3698
g00145,386,325
g00146,696,723
g00147,2087,2085
g00148,9,6
g00149,134,125
g00150,1033,1006
g00151,137,137
g00152,193,159
g00153,343,298
g00154,137,128
g00155,146,139
g00156,519,466
g00157,9,4
g00158,542,501
g00159,1307,1288
g00160,2,1
g00161,17,12
g00162,1540,1107
g00163,13,9
g00164,0,3
g00165,645,538
g00166,904,815
g00167,372,426
g00168,478,417
g00169,29,26
g00170,12,3
g00171,40,28
g00172,0,1
g00173,110,83
g00174,85,57
g00175,110,106
g00176,386,394
g00177,1,0
g00178,0,0
g00179,558,504
g00180,1029,847
g00181,732,756
g00182,984,1027
g00183,748,718
g00184,141,164
g00185,11,9
g00186,4,3
g00187,493,523
g00188,47,28
g00189,212,232
g00190,504,508
g00191,425,390
g00192,11,3
g00193,510,498
g00194,93,122
g00195,4,10
g00196,0,0
g00197,0,0
g00198,5607,6130
g00199,4,3
g00200,4,8
g00201,188,168
g00202,71,51
g00203,131,94
g00204,4,5
g00205,4,2
g00206,2,1
g00207,49,43
g00208,72,63
g00209,59,47
g00210,0,0
g00211,49,47
g00212,294,352
g00213,37,53
g00214,374,409
g00215,41,50
g00216,554,498
g00217,473,501
g00218,175,201
g00219,0,0
g00220,673,689
g00221,40,35
g00222,227,227
g00223,138,132
g00224,0,2
g00225,1333,1219
g00226,4,4
g00227,95,91
g00228,447,336
g00229,322,343
g00230,522,457
g00231,129,117
g00232,3,2
g00233,364,407
g00234,11,11
g00235,68390,68546
g00236,12361,12892
g00237,619,624
g00238,1,2
g00239,181,155
g00240,1,0
g00241,0,0
g00242,147,94
g00243,18,9
g00244,1478,1425
g00245,0,0
g00246,783,831
g00247,14,11
g00248,838,892
g00249,66,69
g00250,0,1
g00251,1557,1672
g00252,5,7
g00253,2,0
g00254,357,306
g00255,1419,1650
g00256,413,323
g00257,220,239
g00258,299,271
g00259,207,199
g00260,171,204
g00261,10,8
g00262,184,230
g00263,1,1
g00264,186,227
g00265,158,160
g00266,115,131
g00267,642,707
g00268,8,8
g00269,160,153
g00270,551,520
g00271,12,4
g00272,509,462
g00273,1239,1195
g00274,861,749
g00275,5903,6099
g00276,136,116
g00277,1286,1476
g00278,526,588
g00279,633,631
g00280,421,415
g00281,168,157
g00282,3,2
g00283,274,324
g00284,3,1
g00285,0,1
g00286,0,0
g00287,140,105
g00288,31,46
g00289,6,0
g00290,10,6
g00291,125,126
g00292,94,99
g00293,215,225
g00294,1077,1081
g00295,247,301
g00296,546,471
g00297,26,15
g00298,11,10
g00299,95,48
g00300,7,6
g00301,2517,2865
g00302,1999,1979
g00303,235,250
g00304,388,440
g00305,527,543
g00306,13,10
g00307,371,334
g00308,331,423
g00309,9,3
g00310,3,0
g00311,525,444
g00312,198,185
g00313,879,857
g00314,271,260
g00315,1,0
g00316,172,192
g00317,44,51
g00318,563,635
g00319,12,10
g00320,748,788
g00321,27,27
g00322,313,391
g00323,1217,1248
g00324,4,6
g00325,3,4
g00326,1043,1019
g00327,32,40
g00328,960,890
g00329,135,150
g00330,252,274
g00331,194,166
g00332,1,1
g00333,1093,1085
g00334,312,321
g00335,1491,1572
g00336,743,633
g00337,10,4
g00338,0,0
g00339,10,11
g00340,0,0
g00341,2,0
g00342,9,3
g00343,0,1
g00344,464,496
g00345,2165,2468
g00346,19,27
g00347,1012,913
g00348,163,179
g00349,52,48
g00350,1189,1213
g00351,3745,4185
g00352,5,5
g00353,6,4
g00354,1054,974
g00355,603,615
g00356,8,15
g00357,0,1
g00358,238,247
g00359,6,5
g00360,6,2
g00361,314,326
g00362,1562,1630
g00363,179,210
g00364,22,18
g00365,142,134
g00366,163,133
g00367,376,325
g00368,24,13
g00369,1,0
g00370,0,0
g00371,0,0
g00372,0,0
g00373,0,0
g00374,0,0
g00375,6,6
g00376,1594,1766
g00377,1145,1190
g00378,12,6
g00379,0,0
g00380,4042,4152
g00381,139,149
g00382,304,319
g00383,382,400
g00384,664,660
g00385,376,179
g00386,57,24
g00387,1976,1675
g00388,947,930
g00389,9,4
g00390,385,458
g00391,6,5
g00392,272,261
g00393,10,3
g00394,49,44
g00395,230,235
g00396,443,208
g00397,1094,1140
g00398,10283,6981
g00399,4,4
g00400,0,0
g00401,1,0
g00402,0,1
g00403,37,37
g00404,83,76
g00405,173,222
g00406,478,539
g00407,194,197
g00408,820,749
g00409,0,0
g00410,523,522
g00411,1770,2078
g00412,10930,9769
g00413,0,1
g00414,0,1
g00415,0,1
g00416,1,1
g00417,3,5
g00418,1477,1194
g00419,7,5
g00420,3,3
g00421,3,4
g00422,0,0
g00423,0,0
g00424,1706,1631
g00425,5,0
g00426,1865,1994
g00427,504,440
g00428,479,431
g00429,12,19
g00430,34,34
g00431,658,576
g00432,1,1
g00433,8,13
g00434,1120,1020
g00435,895,858
g00436,83,70
g00437,422,320
g00438,214,230
g00439,368,391
g00440,126,142
g00441,801,709
g00442,42,27
g00443,109,85
g00444,232,201
g00445,52,31
g00446,124,141
g00447,2,0
g00448,2,0
g00449,0,0
g00450,7,2
g00451,70,66
g00452,32,32
g00453,3,1
g00454,415,442
g00455,967,991
g00456,179,157
g00457,395,387
g00458,719,675
g00459,361,281
g00460,280,180
g00461,563,602
g00462,539,463
g00463,0,0
g00464,404,396
g00465,210,143
g00466,101,114
g00467,848,867
g00468,3031,3173
g00469,2,2
g00470,775,715
g00471,418,351
g00472,137,110
g00473,186,240
g00474,1089,1033
g00475,126,132
g00476,2561,2515
g00477,258,223
g00478,449,463
g00479,772,730
g00480,0,0
g00481,1,0
g00482,1667,1800
g00483,50,79
g00484,5,4
g00485,41,23
g00486,866,877
g00487,4,2
g00488,1079,1184
g00489,506,535
g00490,161,199
g00491,284,186
g00492,1,4
g00493,12,9
g00494,503,261
g00495,0,0
g00496,220,223
g00497,117,130
g00498,1174,1128
g00499,11,11
g00500,1267,1234
g00501,1,0
g00502,698,601
g00503,291,222
g00504,2533,2650
g00505,152,129
g00506,166,150
g00507,20,5
g00508,9,19
g00509,7,11
g00510,1235,1281
g00511,6,9
g00512,0,0
g00513,1230,1218
g00514,12,7
g00515,0,1
g00516,0,0
g00517,8,4
g00518,310,217
g00519,584,648
g00520,1006,1052
g00521,11,12
g00522,4649,4429
g00523,24,27
g00524,29,33
g00525,0,0
g00526,0,0
g00527,0,0
g00528,0,0
g00529,0,0
g00530,0,0
g00531,0,0
g00532,0,0
g00533,0,0
g00534,11,6
g00535,6,2
g00536,1,0
