,mut_NB_f4,mut_NB_f5
g00001,39,27
g00002,17,17
g00003,0,0
g00004,0,0
g00005,2,1
g00006,310,346
g00007,794,621
g00008,63,50
g00009,173,133
g00010,447,413
g00011,780,611
g00012,5,1
g00013,76,81
g00014,2983,2295
g00015,0,0
g00016,2,0
g00017,996,893
g00018,1,0
g00019,269,251
g00020,5,7
g00021,6,3
g00022,1,0
g00023,16,13
g00024,284,288
g00025,57,54
g00026,212,166
g00027,2,1
g00028,7,3
g00029,79,80
g00030,1,2
g00031,3,2
g00032,1,4
g00033,3,0
g00034,350,352
g00035,245,241
g00036,2156,1659
g00037,3,2
g00038,17,14
g00039,0,4
g00040,1,0
g00041,14,30
g00042,5,6
g00043,0,1
g00044,3335,2608
g00045,1228,827
g00046,91,60
g00047,0,0
g00048,0,0
g00049,18,40
g00050,1,0
g00051,0,0
g00052,3,1
g00053,119,98
g00054,12,8
g00055,0,2
g00056,1,0
g00057,2075,1501
g00058,325,287
g00059,103,84
g00060,162,131
g00061,265,203
g00062,0,0
g00063,122,128
g00064,20,9
g00065,14,9
g00066,1,0
g00067,7,7
g00068,3,2
g00069,0,0
g00070,0,0
g00071,0,0
g00072,0,0
g00073,0,0
g00074,0,0
g00075,375,302
g00076,0,0
g00077,0,0
g00078,0,0
g00079,1,0
g00080,0,0
g00081,0,1
g00082,102,77
g00083,0,0
g00084,602,544
g00085,12,11
g00086,7,6
g00087,1,3
g00088,4,25
g00089,0,0
g00090,0,0
g00091,0,0
g00092,0,0
g00093,2,4
g00094,1,1
g00095,0,0
g00096,1,0
g00097,0,0
g00098,33,21
g00099,0,0
g00100,635,498
g00101,1114,977
g00102,8,19
g00103,2044,1801
g00104,15,18
g00105,15,8
g00106,443,277
g00107,1,2
g00108,0,0
g00109,0,0
g00110,1,0
g00111,0,0
g00112,0,0
g00113,0,0
g00114,0,0
g00115,812,932
g00116,111,80
g00117,0,0
g00118,0,0
g00119,0,0
g00120,1,0
g00121,0,0
g00122,1,0
g00123,0,0
g00124,0,0
g00125,81,49
g00126,7,5
g00127,69,49
g00128,211,267
g00129,129,96
g00130,0,0
g00131,0,2
g00132,4092,2540
g00133,0,0
g00134,175,182
g00135,339,335
g00136,171,134
g00137,10,7
g00138,2,1
g00139,0,7
g00140,0,0
g00141,1,1
g00142,0,0
g00143,248,235
g00144,1792,1573
g00145,572,427
g00146,434,309
g00147,1079,755
g00148,59,39
g00149,40,43
g00150,439,281
g00151,119,99
g00152,543,301
g00153,449,403
g00154,300,367
g00155,67,63
g00156,172,145
g00157,20,13
g00158,325,273
g00159,607,444
g00160,0,0
g00161,4,7
g00162,2693,2484
g00163,0,0
g00164,7,24
g00165,143,112
g00166,706,680
g00167,365,263
g00168,63,101
g00169,8,1
g00170,46,44
g00171,323,193
g00172,38,13
g00173,2,6
g00174,12,19
g00175,74,43
g00176,225,179
g00177,4,1
g00178,3,0
g00179,545,393
g00180,895,854
