,wt_E14.5_f4,wt_E14.5_f5
g00001,324,513
g00002,112,147
g00003,0,0
g00004,9,5
g00005,77,117
g00006,415,493
g00007,407,448
g00008,30,35
g00009,211,299
g00010,24,26
g00011,744,938
g00012,2,10
g00013,3,2
g00014,952,1372
g00015,0,0
g00016,181,281
g00017,550,713
g00018,66,115
g00019,406,409
g00020,42,66
g00021,16,25
g00022,169,217
g00023,109,158
g00024,709,889
g00025,147,189
g00026,180,208
g00027,2,2
g00028,6,17
g00029,181,241
g00030,5,4
g00031,4,6
g00032,1,2
g00033,0,0
g00034,496,677
g00035,746,991
g00036,1032,1566
g00037,18,24
g00038,573,593
g00039,83,106
g00040,0,0
g00041,1922,2560
g00042,540,729
g00043,0,0
g00044,1570,1941
g00045,1777,2037
g00046,107,113
g00047,1,1
g00048,3,0
g00049,213,395
g00050,307,339
g00051,10,7
g00052,147,272
g00053,187,242
g00054,41,48
g00055,0,1
g00056,6,6
g00057,2297,2436
g00058,247,337
g00059,453,613
g00060,373,527
g00061,325,444
g00062,1,1
g00063,261,317
g00064,10,15
g00065,277,332
g00066,381,560
g00067,37,86
g00068,971,1186
g00069,0,0
g00070,0,0
g00071,0,0
g00072,0,0
g00073,0,0
g00074,0,0
g00075,402,449
g00076,120,147
g00077,3,1
g00078,1,1
g00079,8,24
g00080,0,0
g00081,0,0
g00082,1773,1949
g00083,6,6
g00084,380,433
g00085,50,69
g00086,71,122
g00087,30,37
g00088,9,11
g00089,0,1
g00090,0,0
g00091,0,0
g00092,1,1
g00093,151,204
g00094,254,396
g00095,4,2
g00096,0,0
g00097,0,0
g00098,274,425
g00099,0,1
g00100,473,699
g00101,594,802
g00102,81,86
g00103,1110,1336
g00104,6022,7692
g00105,353,512
g00106,446,578
g00107,575,868
g00108,22,40
g00109,2,1
g00110,0,1
g00111,0,0
g00112,0,0
g00113,0,0
g00114,0,0
g00115,2058,2577
g00116,119,158
g00117,1,0
g00118,1,0
g00119,0,0
g00120,0,0
g00121,0,0
g00122,175,185
g00123,6,14
g00124,18,55
g00125,379,491
g00126,10,14
g00127,248,259
g00128,317,438
g00129,531,635
g00130,1,2
g00131,103,171
g00132,7831,10128
g00133,0,2
g00134,247,314
g00135,478,589
g00136,177,235
g00137,72,61
g00138,0,0
g00139,1,3
g00140,0,0
g00141,265,369
g00142,2,1
g00143,282,394
g00144,3813,4535
g00145,295,438
g00146,711,839
g00147,2174,2550
g00148,9,9
g00149,126,179
g00150,1008,1195
g00151,156,146
g00152,179,216
g00153,352,363
g00154,150,184
g00155,143,183
g00156,525,692
g00157,2,3
g00158,540,732
g00159,1298,1597
g00160,1,3
g00161,4,10
g00162,1125,1584
g00163,4,22
g00164,0,0
g00165,550,847
g00166,767,1014
g00167,434,513
g00168,397,641
g00169,21,28
g00170,4,8
g00171,36,40
g00172,1,1
g00173,99,143
g00174,65,79
g00175,117,133
g00176,359,438
g00177,0,0
g00178,0,0
g00179,528,634
g00180,833,1153
g00181,708,918
g00182,1234,1344
g00183,688,1007
g00184,124,169
g00185,11,15
g00186,2,8
g00187,461,662
g00188,39,53
g00189,236,240
g00190,459,576
g00191,405,458
g00192,9,10
g00193,525,605
g00194,107,134
g00195,11,9
g00196,0,0
g00197,0,2
g00198,6116,6764
g00199,5,3
g00200,4,4
g00201,211,203
g00202,57,69
g00203,88,97
g00204,2,5
g00205,3,5
g00206,0,2
g00207,81,52
g00208,78,62
g00209,56,80
g00210,0,0
g00211,52,50
g00212,348,396
g00213,49,65
g00214,401,421
g00215,43,78
g00216,467,652
g00217,495,589
g00218,203,319
g00219,0,0
g00220,742,855
g00221,50,53
g00222,124,311
g00223,167,182
g00224,0,0
g00225,1255,1636
g00226,1,4
g00227,78,95
g00228,408,530
g00229,328,444
g00230,511,666
g00231,147,161
g00232,3,2
g00233,349,434
g00234,12,20
g00235,69433,74146
g00236,13688,14476
g00237,706,732
g00238,0,1
g00239,210,248
g00240,0,0
g00241,1,0
g00242,109,163
g00243,5,27
g00244,1513,2009
g00245,0,0
g00246,738,1044
g00247,17,14
g00248,845,919
g00249,68,62
g00250,0,2
g00251,1586,2028
g00252,0,8
g00253,0,1
g00254,334,409
g00255,1584,1739
g00256,374,398
g00257,222,261
g00258,231,339
g00259,196,234
g00260,199,239
g00261,11,18
g00262,134,281
g00263,2,1
g00264,197,208
g00265,184,197
g00266,113,180
g00267,749,894
g00268,8,16
g00269,166,169
g00270,579,679
g00271,4,7
g00272,530,615
g00273,1143,1679
g00274,807,939
g00275,6181,7551
g00276,126,133
g00277,1484,1618
g00278,620,589
g00279,581,733
g00280,422,627
g00281,160,216
g00282,2,6
g00283,338,392
g00284,1,2
g00285,0,1
g00286,0,0
g00287,141,175
g00288,42,57
g00289,2,3
g00290,11,17
g00291,138,197
g00292,104,110
g00293,209,261
g00294,1065,1223
g00295,302,367
g00296,485,619
