,wt_NB_f5,wt_NB_f4
g00001,21,56
g00002,9,22
g00003,0,0
g00004,0,0
g00005,0,0
g00006,341,308
g00007,568,690
g00008,36,56
g00009,122,151
g00010,312,451
g00011,698,707
g00012,5,7
g00013,53,58
g00014,1888,2794
g00015,0,0
g00016,2,1
g00017,942,975
g00018,0,0
g00019,326,201
g00020,12,8
g00021,3,2
g00022,0,0
g00023,10,9
g00024,270,240
g00025,46,48
g00026,161,191
g00027,5,3
g00028,2,5
g00029,64,96
g00030,1,4
g00031,2,2
g00032,2,1
g00033,0,0
g00034,363,310
g00035,176,187
g00036,1849,1839
g00037,11,0
g00038,18,23
g00039,0,0
g00040,0,0
g00041,19,14
g00042,2,2
g00043,0,1
g00044,2004,3202
g00045,863,1033
g00046,77,64
g00047,0,0
g00048,2,1
g00049,9,9
g00050,2,1
g00051,0,0
g00052,0,2
g00053,67,91
g00054,10,10
g00055,1,0
g00056,0,0
g00057,1469,1717
g00058,286,249
g00059,100,94
g00060,150,140
g00061,202,226
g00062,0,0
g00063,142,117
g00064,20,23
g00065,5,5
g00066,0,1
g00067,2,3
g00068,3,2
g00069,0,0
g00070,0,0
g00071,0,0
g00072,0,0
g00073,0,0
g00074,0,0
g00075,329,257
g00076,3,3
g00077,0,0
g00078,0,0
g00079,1,0
g00080,0,0
g00081,0,0
g00082,129,91
g00083,0,0
g00084,545,578
g00085,8,17
g00086,7,5
g00087,9,4
g00088,12,8
g00089,0,0
g00090,0,0
g00091,0,0
g00092,0,0
g00093,1,1
g00094,0,2
g00095,0,0
g00096,0,0
g00097,1,0
g00098,41,28
g00099,0,0
g00100,509,553
g00101,1046,1104
g00102,23,22
g00103,1756,2139
g00104,15,13
g00105,6,4
g00106,297,334
g00107,1,2
g00108,0,0
g00109,0,0
g00110,0,0
g00111,0,0
g00112,0,0
g00113,0,0
g00114,0,0
g00115,748,677
g00116,121,83
g00117,0,0
g00118,0,0
g00119,0,0
g00120,0,0
g00121,0,0
g00122,0,1
g00123,0,0
g00124,0,2
g00125,55,52
g00126,6,5
g00127,50,40
g00128,399,210
g00129,83,119
g00130,0,0
g00131,2,1
g00132,1297,2297
g00133,0,0
g00134,283,162
g00135,417,305
g00136,168,143
g00137,11,5
g00138,0,0
g00139,1,3
g00140,0,0
g00141,0,0
g00142,0,0
g00143,248,221
g00144,1619,1513
g00145,451,483
g00146,466,306
g00147,884,789
g00148,46,55
g00149,31,27
g00150,271,374
g00151,131,104
g00152,346,476
g00153,314,393
g00154,441,319
g00155,54,50
g00156,135,169
g00157,11,13
g00158,319,240
g00159,517,540
g00160,0,0
g00161,8,3
g00162,2362,2621
g00163,0,0
g00164,12,9
g00165,108,109
g00166,702,644
g00167,274,286
g00168,147,73
g00169,3,5
g00170,44,36
g00171,176,220
g00172,9,16
g00173,10,9
g00174,15,15
g00175,41,56
g00176,225,205
g00177,0,1
g00178,3,2
g00179,461,486
g00180,877,797
g00181,136,115
g00182,11,24
g00183,2,3
g00184,2,1
g00185,0,0
g00186,0,0
g00187,216,239
g00188,118,124
g00189,153,115
g00190,221,177
g00191,279,267
g00192,3,1
g00193,1370,1103
g00194,49,13
g00195,3,4
g00196,0,0
g00197,0,0
g00198,3092,2653
g00199,70,69
g00200,300,538
g00201,213,209
g00202,469,654
g00203,3,4
g00204,2,15
g00205,8,11
g00206,1,1
g00207,4,0
g00208,64,86
g00209,0,1
g00210,0,0
g00211,0,0
g00212,2,1
g00213,2,1
g00214,161,146
g00215,0,0
g00216,600,511
g00217,174,153
g00218,603,647
g00219,0,0
g00220,314,377
g00221,42,30
g00222,2,0
g00223,46,50
g00224,1,3
g00225,1632,2110
g00226,21,6
g00227,17,16
g00228,36,27
g00229,59,54
g00230,319,276
g00231,85,71
g00232,0,2
g00233,3,10
g00234,0,0
g00235,1492,1763
g00236,235,258
g00237,340,252
g00238,2,3
g00239,481,879
g00240,0,0
g00241,0,0
g00242,2,1
g00243,4,1
g00244,410,360
g00245,0,0
g00246,14,7
g00247,0,0
g00248,11,29
g00249,158,216
g00250,1,2
g00251,1740,1678
g00252,2,1
g00253,1,2
g00254,334,256
g00255,496,507
g00256,900,660
g00257,84,71
g00258,2414,2666
g00259,8,9
g00260,107,94
g00261,2,0
g00262,2,0
g00263,0,0
g00264,65,81
g00265,198,274
g00266,58,77
g00267,405,349
g00268,1,0
g00269,372,286
g00270,14,9
g00271,2,1
g00272,171,172
g00273,688,569
g00274,1657,2188
g00275,2747,2424
g00276,158,175
g00277,464,326
g00278,150,122
g00279,520,659
g00280,5,11
g00281,140,84
g00282,0,0
g00283,11,1
g00284,0,0
g00285,0,0
g00286,0,0
g00287,1,10
g00288,2,3
g00289,0,0
g00290,1,1
g00291,84,99
g00292,24,39
g00293,113,118
g00294,102,101
g00295,325,273
g00296,29,29
g00297,3,5
g00298,7,5
g00299,6937,3850
g00300,55,42
g00301,3148,2347
g00302,1897,2754
g00303,108,118
g00304,245,170
g00305,139,159
g00306,10,6
g00307,330,346
g00308,297,223
g00309,2,0
g00310,9,21
g00311,523,943
g00312,342,409
g00313,352,395
g00314,61,80
g00315,0,0
g00316,40,41
g00317,14,11
g00318,252,224
g00319,0,2
g00320,202,187
g00321,6,3
g00322,141,122
g00323,704,486
g00324,1,3
g00325,1,0
g00326,1327,1577
g00327,32,67
g00328,476,386
g00329,12,17
g00330,135,117
g00331,97,87
g00332,1,3
g00333,138,184
g00334,5,13
g00335,317,222
g00336,376,350
g00337,0,3
g00338,0,0
g00339,7,3
g00340,0,0
g00341,27,11
g00342,3,7
g00343,0,0
g00344,26,22
g00345,127,134
g00346,1,4
g00347,1155,1102
g00348,72,74
g00349,35,38
g00350,637,556
g00351,3715,4029
g00352,3,2
g00353,2,1
g00354,18,21
g00355,10,2
g00356,0,0
g00357,0,0
g00358,94,62
g00359,2,0
g00360,0,0
g00361,61,100
g00362,428,442
g00363,30,59
g00364,0,0
g00365,21,30
g00366,88,112
g00367,910,1024
g00368,0,0
g00369,0,0
g00370,0,0
g00371,0,0
g00372,0,0
g00373,0,0
g00374,0,0
g00375,0,0
g00376,228,239
g00377,406,418
g00378,0,0
g00379,0,0
g00380,3140,3143
g00381,156,133
g00382,2,2
g00383,249,251
g00384,165,180
g00385,33,171
g00386,5,34
g00387,30,36
g00388,1129,1012
g00389,2,2
g00390,2,0
g00391,0,0
g00392,188,190
g00393,0,0
g00394,1,0
g00395,23,14
g00396,19795,25040
g00397,69,51
g00398,384,416
g00399,0,0
g00400,0,0
g00401,0,2
g00402,0,0
g00403,952,1418
g00404,51,39
g00405,0,0
g00406,151,128
g00407,0,3
g00408,173,140
g00409,0,0
g00410,412,404
g00411,149,105
g00412,251,125
g00413,0,0
g00414,0,0
g00415,0,0
g00416,0,0
g00417,0,0
g00418,77,110
g00419,0,0
g00420,0,3
g00421,1,8
g00422,0,0
g00423,0,0
g00424,1594,1782
g00425,3,4
g00426,1502,1497
g00427,398,259
g00428,817,733
g00429,0,3
g00430,5,0
g00431,244,192
g00432,0,1
g00433,5,1
g00434,281,294
g00435,365,309
g00436,2,2
g00437,93,109
g00438,105,65
g00439,437,473
g00440,11,12
g00441,172,124
g00442,2,10
g00443,3,14
g00444,67,41
g00445,31,31
g00446,1,0
g00447,0,0
g00448,8,0
g00449,0,0
g00450,2,0
g00451,2,3
g00452,29,19
g00453,39,49
g00454,504,615
g00455,611,660
g00456,329,397
g00457,194,226
g00458,875,915
g00459,337,314
g00460,106,88
g00461,408,273
g00462,8420,6996
g00463,8,11
g00464,634,600
g00465,89,33
g00466,0,0
g00467,478,441
g00468,51,59
g00469,1,0
g00470,7,7
g00471,370,329
g00472,121,114
g00473,1,1
g00474,29,31
g00475,4,3
g00476,107,158
g00477,69,136
g00478,234,248
g00479,20,30
g00480,0,0
g00481,0,0
g00482,1302,1287
g00483,3,11
g00484,0,1
g00485,117,129
g00486,461,326
g00487,0,0
g00488,59,65
g00489,56,59
g00490,5,4
g00491,1,0
g00492,24,31
g00493,122,144
g00494,167,110
g00495,0,0
g00496,134,106
g00497,3,1
g00498,10,14
g00499,2,3
g00500,2048,3295
g00501,0,0
g00502,33,45
g00503,3,2
g00504,2518,2567
g00505,148,64
g00506,533,516
g00507,23,24
g00508,75,59
g00509,3,7
g00510,404,418
g00511,2,0
g00512,0,0
g00513,1339,1274
g00514,17,20
g00515,0,0
g00516,14,18
g00517,1,1
g00518,4,1
g00519,15,11
g00520,3,2
g00521,0,0
g00522,7429,8033
g00523,44,36
g00524,204,151
g00525,0,0
g00526,0,0
g00527,0,0
g00528,0,0
g00529,0,0
g00530,0,0
g00531,0,0
g00532,0,0
g00533,0,0
g00534,1,0
g00535,0,2
g00536,0,0
g00537,0,0
g00538,3,2
g00539,0,1
g00540,2492,2934
g00541,208,106
g00542,0,0
g00543,2,3
g00544,0,0
g00545,0,2
g00546,1669,1779
g00547,24,31
g00548,25,20
g00549,0,0
g00550,4,4
g00551,0,0
g00552,3810,3022
g00553,4,1
g00554,1,0
g00555,7,3
g00556,0,1
g00557,1,0
g00558,788,739
g00559,18,14
g00560,109,119
g00561,3,1
g00562,371,405
g00563,0,0
g00564,0,0
g00565,1,0
g00566,1,0
g00567,0,1
g00568,7,4
g00569,7,3
g00570,613,666
g00571,4,13
g00572,897,879
g00573,26,35
g00574,8,7
g00575,412,386
g00576,9,10
g00577,1,1
g00578,99,68
g00579,37,52
g00580,294,355
g00581,70,46
g00582,2,3
g00583,4,2
g00584,109,142
g00585,297,301
g00586,632,787
g00587,632,787
g00588,805,985
g00589,649,805
g00590,723,853
g00591,660,820
g00592,650,804
g00593,73,66
g00594,838,1249
g00595,157,148
g00596,1592,1450
g00597,1168,1085
g00598,1,13
g00599,0,0
g00600,1,1
g00601,1,0
g00602,444,479
g00603,0,0
g00604,0,0
g00605,112,132
g00606,0,0
g00607,702,558
g00608,46,47
g00609,1,4
g00610,1,0
g00611,1,0
g00612,56,53
g00613,468,356
g00614,0,0
g00615,311,297
g00616,5,13
g00617,0,0
g00618,1,0
g00619,1630,2803
g00620,1,0
g00621,5,4
g00622,265,321
g00623,7,15
g00624,92,65
g00625,3,8
g00626,1,2
g00627,6,3
g00628,28,38
g00629,209,159
g00630,0,0
g00631,39,34
g00632,463,114
g00633,21,25
g00634,6,7
g00635,22,18
g00636,615,494
g00637,860,888
g00638,0,0
g00639,0,0
g00640,0,0
g00641,0,0
g00642,0,0
g00643,0,0
g00644,0,0
g00645,0,0
g00646,232,253
g00647,0,1
g00648,879,906
g00649,158,143
g00650,0,0
g00651,3,0
g00652,66,89
g00653,1573,1625
g00654,50,75
g00655,304,467
g00656,143,103
g00657,3,0
g00658,27,21
g00659,17,32
g00660,1010,1467
g00661,28,35
g00662,360,395
g00663,211,195
g00664,72,56
g00665,454,345
g00666,2154,1247
g00667,4051,3469
g00668,826,705
g00669,142,139
g00670,305,233
g00671,680,679
g00672,595,646
g00673,516,488
g00674,33,34
g00675,225,178
g00676,87,97
g00677,0,0
g00678,0,0
g00679,0,0
g00680,0,0
g00681,0,0
g00682,0,0
g00683,0,0
g00684,79,128
g00685,11,18
g00686,0,0
g00687,0,0
g00688,0,0
g00689,0,0
g00690,0,0
g00691,0,0
g00692,0,0
g00693,0,0
g00694,0,0
g00695,1,0
g00696,71,54
g00697,745,603
g00698,14,18
g00699,485,778
g00700,13,17
g00701,0,0
g00702,0,0
g00703,0,0
g00704,0,0
g00705,0,0
g00706,0,0
g00707,90,67
g00708,11,9
g00709,478,475
g00710,1329,1507
g00711,0,1
g00712,38,29
g00713,15,14
g00714,1100,1151
g00715,2,1
g00716,575,661
g00717,81,79
g00718,6,8
g00719,820,909
g00720,1258,1419
g00721,7181,8702
g00722,8180,7891
g00723,10,20
g00724,4328,2510
g00725,86,50
g00726,1023,719
g00727,2443,795
g00728,87,311
g00729,2177,3710
g00730,3267,3124
g00731,167,122
g00732,2166,3797
g00733,10,5
g00734,1,1
g00735,422,446
g00736,0,1
g00737,0,0
g00738,335,307
g00739,431,317
g00740,3623,2806
g00741,4,10
g00742,215,301
g00743,128,206
g00744,23,40
g00745,72,106
g00746,323,338
g00747,127,90
g00748,226,334
g00749,251,246
g00750,399,753
g00751,1,3
g00752,0,0
g00753,1,4
g00754,2930,1972
g00755,10,8
g00756,7,10
g00757,0,0
g00758,1,0
g00759,1,3
g00760,0,0
g00761,1005,1493
g00762,159,200
g00763,1,0
g00764,72,53
g00765,3,2
g00766,0,0
g00767,1176,1209
g00768,453,547
g00769,9,9
g00770,9,6
g00771,60,89
g00772,328,232
g00773,3,2
g00774,8,4
g00775,1,1
g00776,2,2
g00777,628,633
g00778,1,0
g00779,840,848
g00780,11,13
g00781,250,212
g00782,0,0
g00783,1199,1150
g00784,33,16
g00785,212,278
g00786,718,453
g00787,30,24
g00788,4,4
g00789,0,0
g00790,0,0
g00791,69,89
g00792,0,0
g00793,0,0
g00794,2,3
g00795,1234,1695
g00796,4481,7062
g00797,2330,2959
g00798,100,133
g00799,21,27
g00800,4,8
g00801,0,0
g00802,0,0
g00803,1,0
g00804,0,1
g00805,0,2
g00806,1513,2019
g00807,46,19
g00808,359,400
g00809,1586,2369
g00810,141,107
g00811,3284,3657
g00812,15,15
g00813,0,1
g00814,1,2
g00815,443,492
g00816,625,670
g00817,6,4
g00818,455,426
g00819,69,47
g00820,1564,1335
g00821,21,23
g00822,659,696
g00823,184,221
g00824,15,6
g00825,0,0
g00826,1,0
g00827,16,9
g00828,792,699
g00829,13,16
g00830,492,738
g00831,210,207
g00832,36,29
g00833,12,12
g00834,7,5
g00835,0,0
g00836,0,8
g00837,440,438
g00838,266,299
g00839,1299,1128
g00840,629,783
g00841,39,29
g00842,0,0
g00843,0,0
g00844,1,1
g00845,9,5
g00846,56,46
g00847,118,119
g00848,1391,1664
g00849,1328,1540
g00850,15,34
g00851,4054,3876
g00852,2,1
g00853,4,4
g00854,4,1
g00855,11,4
g00856,24,43
g00857,1508,3027
g00858,3,6
g00859,1493,4008
g00860,827,345
g00861,14,13
g00862,15,8
g00863,20,12
g00864,478,421
g00865,642,623
g00866,0,0
g00867,68,48
g00868,2784,3607
g00869,510,647
g00870,199,182
g00871,314,326
g00872,0,1
g00873,3,0
g00874,5278,4251
g00875,33,8
g00876,130,160
g00877,6,11
g00878,122,179
g00879,2,7
g00880,1,1
g00881,1,3
g00882,59,68
g00883,0,1
g00884,132,59
g00885,392,236
g00886,162,155
g00887,0,0
g00888,5,3
g00889,358,287
g00890,11,28
g00891,343,561
g00892,298,296
g00893,20,32
g00894,6257,6843
g00895,293,372
g00896,42221,37017
g00897,3,1
g00898,94,77
g00899,2,5
g00900,0,0
g00901,38,45
g00902,47,96
g00903,739,873
g00904,0,0
g00905,4,2
g00906,3577,3543
g00907,18,19
g00908,169,132
g00909,24,33
g00910,0,0
g00911,39,39
g00912,1,0
g00913,0,0
g00914,0,1
g00915,0,0
g00916,2,8
g00917,0,0
g00918,0,0
g00919,64,114
g00920,0,0
g00921,611,718
g00922,0,2
g00923,2,0
g00924,34,34
g00925,0,0
g00926,647,877
g00927,1,0
g00928,0,0
g00929,460,512
g00930,117,131
g00931,0,0
g00932,0,0
g00933,0,0
g00934,0,0
g00935,0,0
g00936,7,4
g00937,0,1
g00938,0,1
g00939,1,0
