,logFC,AveExpr,t,P.Value,adj.P.Val,B,ExperimentName
g15049,-4.4176919357039,3.41993784081416,-18.9094149752825,4.62087057036424e-09,6.98074917064926e-05,-2.6174398146848,E14.5_mut
g23138,1.78617351210689,4.20491909502179,9.2946039784031,3.48030955599462e-06,0.0262885182312054,-1.32813673504848,E14.5_mut
g24845,2.99576499497573,2.34936447786131,5.76950724552781,0.000191869488327491,0.966190786721135,-3.40626843390941,E14.5_mut
g00844,2.06061447752191,3.00866301994757,5.13753564144521,0.000462508172843336,0.999824253438831,-3.05344602411897,E14.5_mut
g15748,1.03792103037762,4.5565854685126,5.06709603286823,0.000511960686078292,0.999824253438831,-1.93751639660893,E14.5_mut
g15360,0.542810239066492,8.47155976699791,4.9392928761631,0.000616697614556618,0.999824253438831,-0.808890292622283,E14.5_mut
g15302,-0.668807758502669,4.3833298802646,-4.72911723541746,0.000841837827375525,0.999824253438831,-2.17912178146085,E14.5_mut
g15475,-0.869987968684234,3.94758685204617,-4.57989874727695,0.0010540389332422,0.999824253438831,-2.51987064853211,E14.5_mut
g15352,-0.49066312853286,6.49977834553875,-4.57556718419642,0.00106098993224125,0.999824253438831,-1.32799590008066,E14.5_mut
g24753,0.712389949007967,4.13709031741016,4.48691176279856,0.00121448382235769,0.999824253438831,-2.43414925987062,E14.5_mut
g15353,-0.769082286447218,3.12736904939607,-4.35675026489296,0.00148394409224563,0.999824253438831,-3.07198848098774,E14.5_mut
g24477,-0.472579957034202,5.15340217186122,-4.26611576724048,0.0017085266569124,0.999824253438831,-2.05025957566384,E14.5_mut
g08278,0.891065143619455,3.85329732089673,4.18596819885739,0.00193710399928656,0.999824253438831,-2.74400780294381,E14.5_mut
g12762,0.890891287488771,3.15888156090944,4.15170437480951,0.00204447200992761,0.999824253438831,-3.13021599274361,E14.5_mut
g24588,-0.36297356944754,8.60319900133227,-4.13383053712765,0.00210295432199796,0.999824253438831,-1.54463506570164,E14.5_mut
g18819,1.18365025624777,2.09182448882853,4.10957223053169,0.00218516089961398,0.999824253438831,-3.63712022771823,E14.5_mut
g11061,0.769206820983799,4.58149243033436,4.08664166234925,0.00226598390280329,0.999824253438831,-2.4346823051884,E14.5_mut
g15455,-0.352140262919257,6.81229298240824,-4.07836869119304,0.00229591097485737,0.999824253438831,-1.707395974881,E14.5_mut
g15668,0.81709274490107,2.99751268670526,4.00599566375111,0.00257614708772057,0.999824253438831,-3.25920023513253,E14.5_mut
g11227,-0.862922976782658,2.4104187951457,-3.99447090377844,0.00262399262028961,0.999824253438831,-3.52728035084449,E14.5_mut
g14841,1.20259813139893,1.48109137604353,3.99320015219966,0.00262932506413774,0.999824253438831,-3.85880358871963,E14.5_mut
g11417,1.15810648432216,1.59220047796595,3.94611877815971,0.00283513614774099,0.999824253438831,-3.83446235832351,E14.5_mut
g21279,0.805371918233656,5.53076188762065,3.91942558294315,0.00295927231792032,0.999824253438831,-2.16821242723902,E14.5_mut
g17691,0.832082680387959,2.69915890021989,3.79178476881525,0.00363674796224803,0.999824253438831,-3.46900994753656,E14.5_mut
g20441,0.58358413153956,4.64214105896799,3.77505032109137,0.00373693094738929,0.999824253438831,-2.60480184730758,E14.5_mut
g24351,0.438364739563181,5.11137942239449,3.76796234798938,0.00378022995300356,0.999824253438831,-2.428626669246,E14.5_mut
g19592,0.766804062493226,5.11450655255043,3.7552094211435,0.00385946054059978,0.999824253438831,-2.44549839131748,E14.5_mut
g02365,-1.40557985789442,2.24421819660739,-3.74829088281044,0.00390316776250449,0.999824253438831,-3.67791393377213,E14.5_mut
g25590,0.862104963017886,2.59101588657039,3.66265309550067,0.00448904989746723,0.999824253438831,-3.55649402920671,E14.5_mut
g21278,0.723157694098039,6.77917660187598,3.58611621274275,0.00509029600088231,0.999824253438831,-2.20186135556226,E14.5_mut
g01046,-0.510529834501938,5.82164974402817,-3.56983071682269,0.00522870864904936,0.999824253438831,-2.38038019578555,E14.5_mut
g15698,-0.488495559158609,6.40757265177182,-3.53212986808496,0.00556435281148466,0.999824253438831,-2.30278099375226,E14.5_mut
g01104,0.374404780325869,6.27127764758808,3.50965211593296,0.00577504485142403,0.999824253438831,-2.34211204617445,E14.5_mut
g03512,0.400001081473298,5.45901377327368,3.50844067140415,0.00578663267683898,0.999824253438831,-2.52525894507247,E14.5_mut
g04445,0.673753831177079,5.00938530109393,3.48779755643989,0.00598784117122004,0.999824253438831,-2.68725480801267,E14.5_mut
g19458,-0.885743820343935,2.03762058197537,-3.47347020915315,0.00613174459169417,0.999824253438831,-3.80213705905869,E14.5_mut
