,logFC,AveExpr,t,P.Value,adj.P.Val,B,ExperimentName
g15049,-1.08995822942948,5.54771172806398,-8.2830809071585,4.62249846590532e-05,0.663097404934118,-3.01387472077746,E15.5_het
g15668,0.837131160726272,2.8710001834594,4.4865122446188,0.00232663954487054,0.999811078531941,-4.1022388410132,E15.5_het
g24960,1.04305108395371,1.94004243770234,4.34556170606427,0.00278838216424238,0.999811078531941,-4.26969195556235,E15.5_het
g13245,0.767384809245239,3.30318953470379,4.177000125526,0.00347585297380575,0.999811078531941,-4.03745178714991,E15.5_het
g15475,-0.53793278142167,4.26652001531194,-3.95097396561983,0.00470196944211271,0.999811078531941,-3.84788352797709,E15.5_het
g14461,0.561933438504265,4.602338398236,3.75345161852275,0.00616071136690614,0.999811078531941,-3.79115159779156,E15.5_het
g06859,0.357780796662624,7.14384346439716,3.72706711266178,0.006389885869092,0.999811078531941,-3.39505083268815,E15.5_het
g20810,0.775239051187264,5.00300199196714,3.66027570480765,0.00701200159125188,0.999811078531941,-3.72093160840283,E15.5_het
g21578,-0.369386571698436,5.50349314508833,-3.42721577197833,0.00974473586178657,0.999811078531941,-3.67979719271924,E15.5_het
g16351,-0.330727292618739,7.62687308504511,-3.38060198286061,0.0104170361253715,0.999811078531941,-3.51427762918659,E15.5_het
g19453,-0.781443080952473,2.47936290210694,-3.37990858439601,0.0104274020577299,0.999811078531941,-4.27789872401175,E15.5_het
g26718,0.567962105213233,6.06570662451755,3.35903010213672,0.0107447218140275,0.999811078531941,-3.60837181285684,E15.5_het
g24379,1.65561856782518,2.17984829608446,3.32162413182483,0.0113391949142723,0.999811078531941,-4.31700080213713,E15.5_het
g08663,0.793795768393878,1.96564161701015,3.29855103933758,0.0117232313112916,0.999811078531941,-4.33671175605468,E15.5_het
g07139,0.522494705464855,4.05425678271725,3.2938782088815,0.0118026756144084,0.999811078531941,-4.00620631922364,E15.5_het
g15379,-0.791491061596791,2.37218713903215,-3.25885330992834,0.01241663980981,0.999811078531941,-4.30349142477811,E15.5_het
g15425,0.658895251963643,3.87302575452488,3.23218490213211,0.012906789309281,0.999811078531941,-4.05418602198578,E15.5_het
g15666,0.438601001469685,6.02566741452874,3.20342398984387,0.0134584399536243,0.999811078531941,-3.66790665191338,E15.5_het
g06030,0.56463443578911,3.65725932544498,3.1880887000308,0.0137627260654694,0.999811078531941,-4.10126299033465,E15.5_het
g06253,0.967633929242065,3.35103014674122,3.18417969850011,0.0138414470004981,0.999811078531941,-4.16161858765369,E15.5_het
g14914,-0.647885865359144,2.93809422764607,-3.18101898133195,0.0139054466841681,0.999811078531941,-4.23322778166796,E15.5_het
g15631,0.568067003805419,3.73935576489669,3.17726485818137,0.0139818685083716,0.999811078531941,-4.08845187711957,E15.5_het
g02917,0.603757703328537,7.00045161131772,3.14197446584505,0.0147223373530246,0.999811078531941,-3.62136961814469,E15.5_het
g06615,-0.435262629329144,4.25573055216813,-3.13703613295227,0.0148292112790338,0.999811078531941,-4.00892498368623,E15.5_het
g03214,0.299457259692687,6.53503764714872,3.13347033409589,0.0149068899888622,0.999811078531941,-3.64353182719504,E15.5_het
g06704,0.762358987951806,1.93808757693442,3.11400774016761,0.0153385022253969,0.999811078531941,-4.3554090952931,E15.5_het
g15254,-0.919290750716542,1.58793484344383,-3.10599426278712,0.0155200243732226,0.999811078531941,-4.39503416003828,E15.5_het
g15184,0.390884868765833,4.54356717134845,3.06382709701555,0.0165132045844714,0.999811078531941,-3.96537474830996,E15.5_het
g15227,-0.697787658976268,3.91375247352305,-3.0061848659979,0.017980306990855,0.999811078531941,-4.10368529405676,E15.5_het
g19559,0.807238138380073,3.48448427802122,2.98876009631542,0.0184502625663371,0.999811078531941,-4.16998403058465,E15.5_het
g25984,-0.49483701581581,3.36068432411825,-2.97514159749381,0.0188265208949012,0.999811078531941,-4.1951342320995,E15.5_het
g22377,-0.527498237448677,3.52634267282442,-2.97412639029307,0.018854889732348,0.999811078531941,-4.1697085681542,E15.5_het
