,logFC,AveExpr,t,P.Value,adj.P.Val,B,ExperimentName
g08834,3.48937872525452,4.06426022588622,6.55353702086542,0.000924037997682498,0.999991983507533,-4.30535594059595,NB_het
g04064,2.35798299892778,2.8468135898589,6.43635728699975,0.00100878626972251,0.999991983507533,-4.37687022865045,NB_het
g04062,3.21760592171398,3.16654871528246,4.85920397946283,0.00377991257234718,0.999991983507533,-4.38703549976316,NB_het
g08837,2.75207642565929,2.36682880059735,4.85021684266801,0.00381167583826515,0.999991983507533,-4.43258257887492,NB_het
g15049,-0.902938774233077,5.00020190558354,-3.78559317845165,0.0111252623370749,0.999991983507533,-4.26616081098911,NB_het
g24699,0.688816583454099,4.3534946779079,3.6881824284594,0.0123743175865742,0.999991983507533,-4.29769357640885,NB_het
g20899,0.735689357501913,6.29083068749638,3.65540271292085,0.0128296784684175,0.999991983507533,-4.24880872509067,NB_het
g17884,-0.850444259829288,6.65425040022643,-3.48345777817313,0.0155502105149606,0.999991983507533,-4.26820046362818,NB_het
g15360,0.643328875194219,5.37208728510439,3.43047049394675,0.0165150702841062,0.999991983507533,-4.26388598139495,NB_het
g21112,0.988515739088476,2.41809339716805,3.41828931930682,0.0167462574790562,0.999991983507533,-4.46518792462655,NB_het
g04065,2.64062299683471,2.08497461538174,3.3956702870829,0.0171852268861537,0.999991983507533,-4.4785907776276,NB_het
g07888,1.20337489415836,4.21853714126385,3.15326409131381,0.0227915595475373,0.999991983507533,-4.34863736125637,NB_het
g01820,0.833456454104585,4.34295810847385,3.11346690814005,0.0238937998405758,0.999991983507533,-4.34044882070563,NB_het
g23872,-0.603362306454611,4.4211528483468,-3.11160698250358,0.0239467408115868,0.999991983507533,-4.34850504610281,NB_het
g11060,-0.816685957799368,3.03046570187895,-3.0588728345033,0.0255032281052126,0.999991983507533,-4.45862967907877,NB_het
g17136,1.24849552759953,2.05824011688656,3.0420639486975,0.0260226448962615,0.999991983507533,-4.49306792721918,NB_het
g22543,0.838792011699422,2.92925207424587,3.00501731391788,0.0272092310697268,0.999991983507533,-4.45292583915541,NB_het
g08417,1.00650892369931,2.16895172725776,2.99671463287782,0.0274832841129615,0.999991983507533,-4.49095332150614,NB_het
g26566,-0.548250737321784,7.47926005519641,-2.94630635409184,0.029213947437903,0.999991983507533,-4.34217719139523,NB_het
g17115,1.20437586497687,2.64348368143832,2.9063057519165,0.0306728209230512,0.999991983507533,-4.4717706279349,NB_het
g10656,0.787875339651843,2.76641531868657,2.88703468600972,0.0314041098476939,0.999991983507533,-4.4683787384217,NB_het
g00731,-0.899493991084181,3.33288839289157,-2.85508480578928,0.0326590818709913,0.999991983507533,-4.45255319523988,NB_het
g24700,0.926207583310867,1.83635367135978,2.81581786505473,0.0342773671048331,0.999991983507533,-4.50913157794043,NB_het
g15227,-0.83664598135975,9.38596598095342,-2.79156411839479,0.0353206686323089,0.999991983507533,-4.40676599808456,NB_het
g18359,-0.54067319988082,5.6585876556182,-2.74543241350392,0.0374021857925435,0.999991983507533,-4.33153704044964,NB_het
g23358,0.737763968163655,2.59037392002262,2.72672485586847,0.0382841305574731,0.999991983507533,-4.48518611541587,NB_het
g15816,-0.505005647578816,5.07108491393451,-2.71085264504875,0.039050190619776,0.999991983507533,-4.34878260018744,NB_het
g15670,0.704861102393686,5.60827506550155,2.69640022221186,0.0397622590612392,0.999991983507533,-4.3362211275779,NB_het
g21241,-0.691822541216722,3.22535845107869,-2.67148988923889,0.0410229628962142,0.999991983507533,-4.46642153285887,NB_het
g12828,0.935602857105152,1.54438909731867,2.66655099681526,0.0412780425392138,0.999991983507533,-4.52239389170704,NB_het
g00445,0.856904006119612,2.02803233324265,2.64501811184229,0.0424104520217585,0.999991983507533,-4.50961846952452,NB_het
g02609,0.61658628806309,4.57932343000361,2.63658180257567,0.0428632680759936,0.999991983507533,-4.3712521765025,NB_het
g07136,1.85306473076871,1.77622486688244,2.63323603928067,0.0430443003409219,0.999991983507533,-4.51594374872086,NB_het
g10779,0.934027637920632,1.43944377616652,2.61441930341845,0.0440779923574449,0.999991983507533,-4.52668760678654,NB_het
g04119,-1.62155388921158,1.92155617080711,-2.61118751474098,0.044258220035105,0.999991983507533,-4.52485825571651,NB_het
g16406,0.992591820556096,2.79002552364774,2.60487347537424,0.0446126422278367,0.999991983507533,-4.48065947223852,NB_het
g08843,0.510107616978103,7.84656435221022,2.59590860636773,0.0451211485857398,0.999991983507533,-4.39165741240515,NB_het
g12604,0.864978803075028,1.57429173726127,2.58999035519175,0.0454602780742642,0.999991983507533,-4.52438504629812,NB_het
g25387,-0.660497969860871,3.9820869356786,-2.58702696473476,0.0456311218828095,0.999991983507533,-4.42425886341284,NB_het
g02703,0.594803695808983,3.72567372870081,2.57539003096592,0.0463087521567869,0.999991983507533,-4.42920506244852,NB_het
g01023,1.08552055860899,1.55814071869699,2.55617289176408,0.0474516980466045,0.999991983507533,-4.52548317773341,NB_het
g18225,0.707582065031377,2.69726094035766,2.54302853539544,0.0482509763855919,0.999991983507533,-4.48989719058585,NB_het
g11129,-0.530419955739739,6.64952889661656,-2.52924188964735,0.0491049317550285,0.999991983507533,-4.36477184734055,NB_het
g08031,-0.526560170955753,3.90454468309384,-2.52632646630775,0.0492875927711961,0.999991983507533,-4.43235705474511,NB_het
g08564,-0.977966244085878,1.47683860666468,-2.52415859260167,0.0494238916288337,0.999991983507533,-4.53461989591803,NB_het
g15602,-0.658758786156954,3.89568820939569,-2.5071690211285,0.0505062173794398,0.999991983507533,-4.43660965863548,NB_het
g10608,0.719784832736345,2.70496981533875,2.50457353286079,0.0506737970859746,0.999991983507533,-4.49158104053725,NB_het
g14477,0.722204315047397,2.35601472908578,2.49356053453675,0.0513915392458114,0.999991983507533,-4.50590420054136,NB_het
g25593,-0.551543925320044,4.23432426519831,-2.49241117609814,0.0514670728731963,0.999991983507533,-4.41573507947139,NB_het
g22544,0.859854774223651,1.62899693686342,2.48596218258055,0.051893106545215,0.999991983507533,-4.52677222658577,NB_het
g08272,-2.89358436686176,2.00123805888961,-2.47587348439249,0.0525672019318532,0.999991983507533,-4.53314105192,NB_het
