,logFC,AveExpr,t,P.Value,adj.P.Val,B,ExperimentName
g15049,-4.51197706121277,3.1540061143818,-17.2249918429628,2.27756020419897e-06,0.0265745724625936,-3.6970998252399,NB_mut
g15254,-1.73080188917711,3.18815305682825,-7.40305000647098,0.000300723779826799,0.999823154075575,-3.66193251341614,NB_mut
g15227,-4.87258384318948,7.33560936691494,-6.3625395679098,0.000685687557683647,0.999823154075575,-3.18503817137725,NB_mut
g15456,0.872568535590639,7.43608904080849,5.84710595413141,0.00107330254245669,0.999823154075575,-3.12719269567723,NB_mut
g14975,-1.19294327900763,4.59162321639767,-5.4650161605743,0.00152533576970666,0.999823154075575,-3.38525949771603,NB_mut
g14002,0.822018476960407,5.13103122258112,4.8415139809886,0.00281426577902345,0.999823154075575,-3.36611326355667,NB_mut
g04056,0.694544878173989,6.26194382038354,4.71564953975614,0.00320468369965357,0.999823154075575,-3.27836844353926,NB_mut
g16772,-1.1300484181584,2.42572201572649,-4.63346590898957,0.00349254446957155,0.999823154075575,-3.97801762738891,NB_mut
g17661,-1.05209554633177,4.99079808201889,-4.49457038884804,0.00404783231496098,0.999823154075575,-3.43829635438191,NB_mut
g12983,-1.20439017285598,1.89049245861042,-4.43265819462509,0.00432687339408865,0.999823154075575,-4.07488696282609,NB_mut
g04117,-1.7489489135499,4.19221272605655,-4.24696955971306,0.00530232826496201,0.999823154075575,-3.67124852237331,NB_mut
g24736,1.09284148104631,2.30790978920988,4.22649631408388,0.0054242145758768,0.999823154075575,-4.04875666015102,NB_mut
g12371,0.741560354053977,5.77199225265224,4.18114524012868,0.00570555090674461,0.999823154075575,-3.41531116474383,NB_mut
g09714,0.808926944949996,3.63317363288954,4.00616090376276,0.00695490694519136,0.999823154075575,-3.82610563962856,NB_mut
g10681,1.01407208270036,2.53049589874044,3.97841698122799,0.0071797748625222,0.999823154075575,-4.03823482354307,NB_mut
g07487,-0.854355532569099,3.3437972780031,-3.94888476992702,0.00742808902789986,0.999823154075575,-3.87802487338439,NB_mut
g11066,0.652520213772051,5.4300671449091,3.89916108851271,0.00786810267686247,0.999823154075575,-3.51111609670347,NB_mut
g15405,1.04944012678846,3.09626226672724,3.88836271271308,0.0079674510060396,0.999823154075575,-3.95641836740032,NB_mut
g15224,-1.24226070520001,3.04119335494661,-3.83811398170949,0.00844849847570048,0.999823154075575,-3.95300154874648,NB_mut
g15670,0.640684300030879,5.53111965656072,3.82575064267923,0.00857175259761044,0.999823154075575,-3.51965614182833,NB_mut
g09605,1.0965090518165,1.70650313251445,3.82004237264515,0.0086293337979439,0.999823154075575,-4.16150918568384,NB_mut
g15475,-0.809011804568944,3.48008707552868,-3.79364920020808,0.0089012202325478,0.999823154075575,-3.87281194582741,NB_mut
g15066,-0.57598265197505,6.18607846438113,-3.77751805308001,0.00907207311848807,0.999823154075575,-3.49041818824182,NB_mut
g15068,-0.759794298420509,4.01482021636456,-3.7655863726275,0.00920079100207644,0.999823154075575,-3.76215311324274,NB_mut
g24700,1.01618178867824,1.83612681054664,3.76526338332532,0.00920430345866801,0.999823154075575,-4.15145447040379,NB_mut
g15615,-1.17433188709339,4.01054024716823,-3.65253443049444,0.0105261992367296,0.999823154075575,-3.79500394713907,NB_mut
g08923,0.811394589875673,3.21800652499441,3.55130679831449,0.0118940834343929,0.999823154075575,-3.98093294066422,NB_mut
g17706,0.823977890723739,3.73340760458948,3.54059155220644,0.0120500147238276,0.999823154075575,-3.88546013537822,NB_mut
g11030,-0.966843736886631,3.26356360143977,-3.53843512313127,0.0120816677145886,0.999823154075575,-3.95890073103617,NB_mut
g11060,-0.834761868132752,2.97889204366754,-3.47629145952097,0.0130344470354454,0.999823154075575,-4.01797965018337,NB_mut
g24699,0.723395838898785,4.32316312770643,3.45594641577006,0.0133641411423541,0.999823154075575,-3.78623501544155,NB_mut
g14140,0.55703486357906,5.97206791437785,3.43059085136436,0.013787950448484,0.999823154075575,-3.60290729140997,NB_mut
g08816,-0.688788604856236,3.99611057927418,-3.42654256604829,0.0138569754479197,0.999823154075575,-3.83702714474177,NB_mut
g15457,0.691947655179843,3.76272207203967,3.41827319796785,0.0139991562505756,0.999823154075575,-3.89993943401117,NB_mut
g10162,0.62742254750319,8.4494888051817,3.39198176585107,0.0144619691669,0.999823154075575,-3.65176487440414,NB_mut
g00735,-0.566089153977589,5.0570855324928,-3.3908492557922,0.0144822793648281,0.999823154075575,-3.67815782656117,NB_mut
g22653,0.516050411402482,5.83163360124977,3.37832844103465,0.0147089261110616,0.999823154075575,-3.62518839334436,NB_mut
g15037,-0.508329311746173,5.81393980869639,-3.34744449685224,0.0152848114253012,0.999823154075575,-3.63223679880466,NB_mut
g18357,0.732519847433217,4.30078657431817,3.32771843355563,0.0156655678374922,0.999823154075575,-3.82199855246932,NB_mut
g10923,0.503467880500351,6.35076109738356,3.3045712904167,0.0161256793638947,0.999823154075575,-3.63313018861987,NB_mut
g01471,-0.517752735108418,5.93180111645274,-3.299042131599,0.0162377650805241,0.999823154075575,-3.64303110783728,NB_mut
g25482,-0.823098612891461,2.75720393712797,-3.29650758455456,0.01628942992156,0.999823154075575,-4.08060040708473,NB_mut
g23322,0.92797611837694,2.92459282687186,3.29392418104608,0.016342276087374,0.999823154075575,-4.06996473131801,NB_mut
g05255,0.925467597173257,1.73631854130244,3.22404243486478,0.0178454606397503,0.999823154075575,-4.21924741435962,NB_mut
g15631,0.963614360677919,3.30359481280575,3.21399456019453,0.0180737599873234,0.999823154075575,-4.02900731893005,NB_mut
g00707,-0.898752716438394,2.41627288970611,-3.19449976933549,0.0185258591006885,0.999823154075575,-4.14156650069302,NB_mut
g12837,0.78822046298917,6.95092051621134,3.17832912034619,0.018910243616916,0.999823154075575,-3.68093327308207,NB_mut
g01547,0.477047885587463,6.26053863492996,3.16655496565793,0.0191955948392235,0.999823154075575,-3.6816779972026,NB_mut
g07147,0.50907984493581,4.91450909906276,3.16250243883867,0.0192948931800957,0.999823154075575,-3.77033347313954,NB_mut
g26657,0.788890708656401,6.5495199549371,3.15959051971215,0.0193665892450049,0.999823154075575,-3.68482467793549,NB_mut
g04910,-0.874279122529169,1.49540373221592,-3.13911180429886,0.0198790867529185,0.999823154075575,-4.24262045323797,NB_mut
g24709,0.761598594942785,6.22708744584038,3.12736422789689,0.0201797368040706,0.999823154075575,-3.69978886411909,NB_mut
g04531,0.578110889748969,5.56013332145722,3.12164814679286,0.0203278137950367,0.999823154075575,-3.72691085957003,NB_mut
g23584,1.13972886987034,3.04855387287897,3.10470436589166,0.0207737423269851,0.999823154075575,-4.08877891055145,NB_mut
g04149,0.528579477959986,5.77366246403682,3.09332892709051,0.0210790896147049,0.999823154075575,-3.7236416846753,NB_mut
g14995,0.502447483965735,4.88240918094933,3.09155870609493,0.0211270445230263,0.999823154075575,-3.79621069220873,NB_mut
g14978,-0.844025684260729,1.99373608900624,-3.08230650513788,0.021379622791813,0.999823154075575,-4.20372264184806,NB_mut
g15587,1.00962244464513,1.52430522369327,3.07782861582865,0.0215030432150136,0.999823154075575,-4.25631350519781,NB_mut
g24890,0.476821829299653,5.34772370133042,3.0723816764195,0.0216542177616133,0.999823154075575,-3.7574595921747,NB_mut
g15360,0.482438656793802,5.24620707102691,3.05347102508976,0.0221880952972664,0.999823154075575,-3.77224579485578,NB_mut
g15343,0.921417129090671,1.34938145118236,3.03247218803051,0.0227977259656168,0.999823154075575,-4.27510980851538,NB_mut
g25805,-0.793633614617043,1.87954096421196,-3.01495838920067,0.0233200877327836,0.999823154075575,-4.22412588320134,NB_mut
g01000,0.775699548646868,5.05727831973172,3.01044607541115,0.0234567636291006,0.999823154075575,-3.80997444291985,NB_mut
g05971,0.570280980719331,4.67477984989281,2.9970510814056,0.0238676311920729,0.999823154075575,-3.85314608845478,NB_mut
g25036,-0.85167656524112,2.02987326741207,-2.97367761212516,0.0246033615140136,0.999823154075575,-4.21595372922755,NB_mut
g02269,0.587624111980965,4.89878629543286,2.96321542031707,0.0249406028293428,0.999823154075575,-3.83791691320527,NB_mut
g25224,0.897556237481063,1.5083072756286,2.94346203229987,0.0255910504013447,0.999823154075575,-4.27341187766476,NB_mut
g11804,-0.777317158871075,4.60057735898365,-2.93998821833746,0.0257073219458148,0.999823154075575,-3.87443744326627,NB_mut
g26469,-0.765111630684741,2.4012266769325,-2.93843412111899,0.0257595236305479,0.999823154075575,-4.18442762463485,NB_mut
